Suburb,Rooms,Type,Price,Date,Distance,Bathroom,Car,BuildingArea,Regionname,Age
Albert Park,4,h,2800000,2016,3.3,3,1,254,Southern Metropolitan,106
Albert Park,3,h,2100000,2016,3.3,1,1,123,Southern Metropolitan,116
Albert Park,3,h,2000000,2016,3.3,1,1,131,Southern Metropolitan,126
Albert Park,4,h,2140000,2016,3.3,2,1,145,Southern Metropolitan,136
Albert Park,2,h,980000,2016,3.3,1,0,68,Southern Metropolitan,126
Albert Park,3,h,1740000,2016,3.3,2,2,134,Southern Metropolitan,126
Albert Park,1,h,985000,2016,3.3,1,0,54,Southern Metropolitan,116
Alphington,4,h,2000000,2016,6.4,2,4,263,Northern Metropolitan,86
Alphington,4,h,1717500,2016,6.4,2,1,203,Northern Metropolitan,91
Alphington,5,h,2840000,2016,6.4,4,4,165,Northern Metropolitan,106
Alphington,2,u,525500,2016,6.4,1,1,60,Northern Metropolitan,56
Alphington,2,t,805000,2016,6.4,2,3,140,Northern Metropolitan,12
Alphington,4,h,1830000,2016,6.4,2,2,112,Northern Metropolitan,46
Alphington,4,h,2100000,2016,6.4,2,2,271,Northern Metropolitan,8
Alphington,3,h,865000,2016,6.4,1,1,131,Northern Metropolitan,6
Alphington,4,h,1900000,2016,6.4,2,2,272,Northern Metropolitan,86
Alphington,4,h,1950000,2016,6.4,2,3,210,Northern Metropolitan,96
Altona,3,h,520000,2016,13.8,2,1,242,Western Metropolitan,1
Altona,5,h,1525000,2016,13.8,3,3,268,Western Metropolitan,11
Altona,2,t,720000,2016,13.8,1,2,125,Western Metropolitan,3
Altona,3,h,1120000,2017,13.8,1,2,120,Western Metropolitan,87
Altona,4,h,1780000,2016,13.8,3,6,220,Western Metropolitan,54
Altona,3,u,630000,2016,13.8,1,2,94,Western Metropolitan,61
Altona,3,h,660000,2016,13.8,1,1,123,Western Metropolitan,61
Altona,2,u,580000,2016,13.8,1,1,93,Western Metropolitan,28
Altona,2,u,510000,2016,13.8,1,1,76,Western Metropolitan,26
Altona,2,u,425000,2016,13.8,1,2,57,Western Metropolitan,36
Altona,4,h,845000,2017,13.8,1,2,130,Western Metropolitan,67
Altona,3,u,730000,2016,13.8,2,1,141,Western Metropolitan,2
Altona,2,u,447000,2016,13.8,1,1,77,Western Metropolitan,26
Altona,3,h,678000,2016,13.8,1,2,87,Western Metropolitan,66
Altona,2,u,580000,2016,13.8,2,1,76,Western Metropolitan,3
Altona,3,h,840000,2017,13.8,2,2,136,Western Metropolitan,52
Altona,3,u,577000,2016,13.8,2,1,113,Western Metropolitan,9
Altona,2,h,857000,2016,13.8,2,1,100,Western Metropolitan,66
Altona,2,h,535600,2016,13.8,1,1,91,Western Metropolitan,20
Altona North,5,h,1085000,2016,11.1,3,6,251,Western Metropolitan,51
Altona North,3,h,781000,2016,11.1,1,2,117,Western Metropolitan,46
Altona North,2,t,421000,2017,11.1,1,1,77,Western Metropolitan,8
Altona North,3,h,683000,2016,11.1,1,2,167,Western Metropolitan,49
Altona North,3,h,588000,2016,11.1,1,1,118,Western Metropolitan,46
Altona North,3,h,710000,2016,11.1,1,3,116,Western Metropolitan,56
Altona North,4,h,875000,2016,11.1,1,4,169,Western Metropolitan,51
Altona North,3,h,675000,2016,11.1,2,2,109,Western Metropolitan,4
Altona North,3,h,708000,2016,11.1,1,2,97,Western Metropolitan,56
Altona North,4,h,693000,2016,11.1,2,4,170,Western Metropolitan,8
Altona North,3,h,620000,2016,11.1,2,2,100,Western Metropolitan,6
Altona North,3,h,728500,2016,11.1,1,1,157,Western Metropolitan,56
Altona North,3,h,931000,2016,11.1,2,1,160,Western Metropolitan,66
Altona North,3,h,815000,2017,11.1,2,3,130,Western Metropolitan,57
Altona North,4,h,1200000,2016,11.1,1,4,158,Western Metropolitan,56
Altona North,2,u,292000,2016,11.1,1,1,70,Western Metropolitan,46
Armadale,3,t,1205000,2016,6.3,2,2,105,Southern Metropolitan,16
Armadale,3,h,1939000,2016,6.3,2,2,150,Southern Metropolitan,127
Armadale,3,h,1870000,2017,6.3,1,1,116,Southern Metropolitan,129
Armadale,3,h,2050000,2017,6.3,2,1,116,Southern Metropolitan,107
Armadale,1,h,1435000,2016,6.3,2,1,107,Southern Metropolitan,116
Armadale,2,h,1210000,2016,6.3,1,0,96,Southern Metropolitan,106
Armadale,4,h,2801000,2016,6.3,2,2,222,Southern Metropolitan,116
Armadale,3,h,1800000,2016,6.3,2,2,121,Southern Metropolitan,106
Armadale,4,h,2200000,2016,6.3,1,2,163,Southern Metropolitan,116
Armadale,3,h,1300000,2016,6.3,1,2,106,Southern Metropolitan,116
Armadale,3,h,1900000,2016,6.3,1,2,108,Southern Metropolitan,116
Armadale,2,u,710000,2017,6.3,1,1,80,Southern Metropolitan,47
Armadale,3,h,1285000,2017,6.3,1,2,80,Southern Metropolitan,97
Ascot Vale,3,h,940000,2016,5.9,1,2,108,Western Metropolitan,96
Ascot Vale,3,h,1380000,2017,5.9,2,2,174,Western Metropolitan,107
Ascot Vale,2,u,490000,2017,5.9,1,1,62,Western Metropolitan,47
Ascot Vale,4,h,1850000,2017,5.9,3,1,270,Western Metropolitan,117
Ascot Vale,3,h,971000,2016,5.9,2,2,128,Western Metropolitan,116
Ascot Vale,2,h,710000,2016,5.9,1,1,77,Western Metropolitan,126
Ascot Vale,6,h,2425000,2016,5.9,3,2,435,Western Metropolitan,129
Ascot Vale,2,h,750000,2016,5.9,1,1,92,Western Metropolitan,96
Ascot Vale,2,h,1053000,2016,5.9,1,1,109,Western Metropolitan,116
Ascot Vale,3,h,1377000,2016,5.9,1,1,168,Western Metropolitan,116
Ascot Vale,3,h,970000,2016,5.9,1,2,125,Western Metropolitan,112
Ascot Vale,2,h,751000,2016,5.9,1,1,79,Western Metropolitan,126
Ascot Vale,2,h,950000,2016,5.9,1,1,102,Western Metropolitan,116
Ascot Vale,2,u,685000,2016,5.9,1,2,90,Western Metropolitan,21
Ascot Vale,3,h,1230000,2016,5.9,1,2,148,Western Metropolitan,56
Ascot Vale,2,h,770000,2016,5.9,1,1,87,Western Metropolitan,116
Ascot Vale,4,h,890000,2016,5.9,1,1,185,Western Metropolitan,126
Ascot Vale,3,h,1440000,2017,5.9,1,1,131,Western Metropolitan,117
Ascot Vale,3,h,1000000,2016,5.9,2,2,120,Western Metropolitan,61
Ascot Vale,3,h,1435000,2016,5.9,2,2,147,Western Metropolitan,66
Ascot Vale,3,h,1425000,2016,5.9,2,2,139,Western Metropolitan,96
Ascot Vale,4,h,1340000,2016,5.9,2,2,232,Western Metropolitan,38
Ascot Vale,3,h,955000,2016,5.9,1,1,117,Western Metropolitan,106
Ascot Vale,4,h,1100000,2016,5.9,2,5,195,Western Metropolitan,96
Ascot Vale,4,h,1640000,2016,5.9,3,2,204,Western Metropolitan,126
Ascot Vale,6,h,1430000,2016,5.9,2,1,286,Western Metropolitan,116
Ascot Vale,2,u,610000,2016,5.9,1,1,104,Western Metropolitan,21
Ascot Vale,3,h,940000,2016,5.9,3,1,127,Western Metropolitan,66
Ascot Vale,3,h,890000,2016,5.9,1,1,110,Western Metropolitan,96
Ascot Vale,3,h,1180000,2016,5.9,2,2,149,Western Metropolitan,86
Ascot Vale,4,h,1480000,2016,5.9,2,2,180,Western Metropolitan,77
Ascot Vale,2,t,865000,2017,5.9,2,1,132,Western Metropolitan,2
Ascot Vale,3,h,1037500,2016,5.9,1,2,110,Western Metropolitan,96
Ascot Vale,3,t,1050000,2016,5.9,2,2,160,Western Metropolitan,3
Ascot Vale,4,h,1430000,2016,5.9,2,0,158,Western Metropolitan,116
Ascot Vale,3,h,1130000,2016,5.9,2,1,157,Western Metropolitan,116
Ascot Vale,3,h,1135000,2016,5.9,1,1,104,Western Metropolitan,106
Ascot Vale,4,h,950000,2016,5.9,2,1,147,Western Metropolitan,96
Ascot Vale,2,u,390000,2017,5.9,1,1,69,Western Metropolitan,5
Ascot Vale,4,h,1345000,2017,5.9,1,1,155,Western Metropolitan,97
Ascot Vale,3,h,1381500,2017,5.9,2,2,168,Western Metropolitan,117
Ascot Vale,3,h,940000,2016,5.9,2,2,172,Western Metropolitan,5
Ascot Vale,3,h,995000,2016,5.9,2,1,177,Western Metropolitan,6
Ascot Vale,3,h,786000,2016,5.9,2,1,120,Western Metropolitan,76
Ascot Vale,2,h,705000,2016,5.9,1,3,108,Western Metropolitan,106
Ascot Vale,2,h,760000,2016,5.9,1,1,77,Western Metropolitan,116
Ascot Vale,3,t,1000000,2016,5.9,2,2,144,Western Metropolitan,13
Ascot Vale,3,h,1305000,2016,5.9,1,1,166,Western Metropolitan,116
Ascot Vale,3,h,1215000,2016,5.9,1,1,175,Western Metropolitan,56
Ascot Vale,2,u,545000,2016,5.9,1,2,71,Western Metropolitan,116
Ascot Vale,4,h,1705000,2016,5.9,2,4,273,Western Metropolitan,4
Ashburton,4,h,2650000,2016,11,3,2,399,Southern Metropolitan,1
Ashburton,3,h,1670000,2016,11,2,2,220,Southern Metropolitan,86
Ashburton,3,t,2050000,2016,11,3,4,315,Southern Metropolitan,2
Ashburton,3,h,1555000,2016,11,2,2,149,Southern Metropolitan,81
Ashburton,3,h,1100000,2016,11,3,2,178,Southern Metropolitan,12
Ashburton,3,h,1337000,2016,11,1,2,112,Southern Metropolitan,66
Ashburton,3,h,1518000,2016,11,2,2,145,Southern Metropolitan,96
Ashburton,3,h,1710000,2016,11,1,2,101,Southern Metropolitan,66
Ashburton,3,h,1655000,2016,11,1,3,152,Southern Metropolitan,76
Ashburton,4,h,1550000,2016,11,2,2,180,Southern Metropolitan,78
Ashburton,3,h,1662000,2016,11,2,2,228,Southern Metropolitan,10
Ashburton,3,h,1665000,2016,11,2,3,145,Southern Metropolitan,71
Ashburton,3,t,900000,2016,11,2,2,110,Southern Metropolitan,26
Ashburton,5,h,2752000,2016,11,4,2,390,Southern Metropolitan,6
Ashburton,3,h,1500000,2016,11,2,2,139,Southern Metropolitan,71
Ashburton,4,h,1800000,2017,11,2,4,206,Southern Metropolitan,67
Ashburton,3,h,1830000,2017,11,2,3,168,Southern Metropolitan,77
Ashburton,3,h,1415000,2016,11,1,1,111,Southern Metropolitan,66
Ashburton,2,h,1440000,2016,11,1,1,104,Southern Metropolitan,76
Ashburton,4,t,1250000,2016,11,2,2,199,Southern Metropolitan,9
Ashburton,5,h,1600000,2016,11,3,4,266,Southern Metropolitan,66
Ashburton,4,h,1860000,2016,11,2,3,274,Southern Metropolitan,16
Ashburton,4,h,1790000,2016,11,2,2,240,Southern Metropolitan,81
Ashburton,4,h,1950000,2016,11,2,2,278,Southern Metropolitan,76
Ashburton,3,h,1650000,2016,11,1,1,164,Southern Metropolitan,69
Ashwood,4,h,1200000,2017,12.2,3,2,201,Southern Metropolitan,1
Ashwood,2,h,1075000,2016,12.2,1,2,114,Southern Metropolitan,66
Ashwood,4,h,1500000,2016,12.2,2,2,203,Southern Metropolitan,16
Ashwood,2,t,700000,2016,12.2,1,2,110,Southern Metropolitan,46
Ashwood,3,h,761000,2016,12.2,2,4,94,Southern Metropolitan,66
Ashwood,4,h,1100000,2016,12.2,2,2,152,Southern Metropolitan,46
Ashwood,2,u,690000,2016,12.2,1,1,90,Southern Metropolitan,13
Ashwood,3,h,1631000,2016,12.2,2,3,215,Southern Metropolitan,66
Ashwood,4,h,1500000,2016,12.2,2,1,255,Southern Metropolitan,86
Ashwood,5,h,1529500,2016,12.2,3,2,317,Southern Metropolitan,16
Ashwood,2,u,600000,2017,12.2,1,1,80,Southern Metropolitan,47
Ashwood,4,h,1240000,2016,12.2,2,2,192,Southern Metropolitan,66
Ashwood,2,u,700000,2016,12.2,1,2,88,Southern Metropolitan,9
Ashwood,2,h,1110000,2016,12.2,1,1,86,Southern Metropolitan,66
Ashwood,3,h,1305000,2017,12.2,1,1,120,Southern Metropolitan,57
Ashwood,3,h,855000,2017,12.2,2,1,85,Southern Metropolitan,59
Ashwood,3,t,900500,2016,12.2,2,2,134,Southern Metropolitan,4
Ashwood,3,h,1200000,2016,12.2,2,2,198,Southern Metropolitan,46
Ashwood,3,t,830000,2016,12.2,1,2,130,Southern Metropolitan,4
Avondale Heights,3,h,850000,2016,10.5,1,1,118,Western Metropolitan,46
Avondale Heights,4,h,1155000,2016,10.5,2,2,225,Western Metropolitan,8
Avondale Heights,3,h,680000,2016,10.5,1,2,120,Western Metropolitan,46
Avondale Heights,3,h,627500,2016,10.5,1,1,143,Western Metropolitan,46
Avondale Heights,4,h,950000,2016,10.5,3,3,281,Western Metropolitan,46
Avondale Heights,3,h,705000,2016,10.5,1,1,106,Western Metropolitan,56
Avondale Heights,4,h,1100000,2016,10.5,3,2,395,Western Metropolitan,24
Avondale Heights,3,h,892500,2016,10.5,1,1,118,Western Metropolitan,51
Avondale Heights,2,h,522500,2016,10.5,1,1,101,Western Metropolitan,21
Avondale Heights,4,h,680000,2016,10.5,2,2,140,Western Metropolitan,56
Avondale Heights,3,h,875000,2017,10.5,1,3,117,Western Metropolitan,57
Avondale Heights,4,h,762000,2016,10.5,2,2,150,Western Metropolitan,55
Avondale Heights,3,h,805000,2016,10.5,2,2,103,Western Metropolitan,46
Avondale Heights,3,h,634000,2016,10.5,2,1,153,Western Metropolitan,66
Balaclava,4,h,1819000,2016,6.6,2,1,180,Southern Metropolitan,116
Balaclava,2,t,1015000,2016,6.6,1,2,120,Southern Metropolitan,16
Balaclava,3,h,1193000,2016,6.6,1,1,100,Southern Metropolitan,96
Balaclava,2,h,981000,2017,6.6,1,0,84,Southern Metropolitan,87
Balaclava,3,h,1690000,2017,6.6,2,2,159,Southern Metropolitan,127
Balaclava,2,u,540000,2016,6.6,1,1,51,Southern Metropolitan,46
Balwyn,2,h,2100000,2016,9.7,1,1,123,Southern Metropolitan,96
Balwyn,4,h,1800000,2016,9.7,2,2,218,Southern Metropolitan,31
Balwyn,2,t,1255000,2016,9.7,1,1,129,Southern Metropolitan,16
Balwyn,3,u,1070000,2016,9.7,2,2,112,Southern Metropolitan,18
Balwyn,5,h,2570000,2016,9.7,3,2,420,Southern Metropolitan,7
Balwyn,4,h,2400000,2016,9.7,2,2,226,Southern Metropolitan,31
Balwyn,2,u,806000,2016,9.7,1,1,97,Southern Metropolitan,39
Balwyn,5,h,2250000,2016,9.7,3,2,356,Southern Metropolitan,10
Balwyn,5,h,2800000,2016,9.7,3,2,349,Southern Metropolitan,15
Balwyn,2,h,1850000,2016,9.7,1,1,166,Southern Metropolitan,86
Balwyn,3,h,700000,2016,9.7,1,1,110,Southern Metropolitan,46
Balwyn,3,h,2125000,2016,9.7,2,2,252,Southern Metropolitan,31
Balwyn,4,h,1800000,2016,9.7,2,2,200,Southern Metropolitan,68
Balwyn,3,h,905000,2016,9.7,1,2,150,Southern Metropolitan,21
Balwyn,4,h,1750000,2016,9.7,3,2,308,Southern Metropolitan,0
Balwyn,2,t,760000,2016,9.7,1,1,100,Southern Metropolitan,56
Balwyn,3,t,1367000,2016,9.7,2,2,164,Southern Metropolitan,13
Balwyn,4,t,1400000,2016,9.7,3,2,240,Southern Metropolitan,7
Balwyn,2,u,625000,2016,9.7,1,1,104,Southern Metropolitan,56
Balwyn,4,h,2730000,2016,9.7,3,2,336,Southern Metropolitan,19
Balwyn,2,u,1053000,2016,9.7,1,2,98,Southern Metropolitan,31
Balwyn,3,t,1472000,2016,9.7,2,2,170,Southern Metropolitan,21
Balwyn,2,u,754000,2017,9.7,1,1,88,Southern Metropolitan,27
Balwyn,4,h,2188000,2016,9.7,2,2,253,Southern Metropolitan,35
Balwyn,2,u,755000,2016,9.7,1,1,92,Southern Metropolitan,36
Balwyn,4,h,2410000,2016,9.7,2,1,207,Southern Metropolitan,76
Balwyn,4,h,2000000,2016,9.7,1,2,291,Southern Metropolitan,86
Balwyn,4,h,1900000,2016,9.7,2,1,155,Southern Metropolitan,76
Balwyn,3,h,1750000,2016,9.7,2,3,193,Southern Metropolitan,73
Balwyn,5,h,2450000,2016,9.7,2,2,260,Southern Metropolitan,56
Balwyn,2,u,730000,2016,9.7,1,1,80,Southern Metropolitan,56
Balwyn,3,h,1500000,2016,9.7,2,2,190,Southern Metropolitan,5
Balwyn,4,h,1700000,2016,9.7,1,1,115,Southern Metropolitan,81
Balwyn North,3,t,1315000,2016,9.2,2,2,167,Southern Metropolitan,16
Balwyn North,3,h,1500000,2016,9.2,2,1,154,Southern Metropolitan,66
Balwyn North,4,h,1905000,2016,9.2,2,2,185,Southern Metropolitan,61
Balwyn North,4,h,1900000,2016,9.2,2,2,215,Southern Metropolitan,61
Balwyn North,3,h,2251000,2016,9.2,1,2,137,Southern Metropolitan,66
Balwyn North,4,h,2205000,2016,9.2,2,2,214,Southern Metropolitan,66
Balwyn North,3,h,1265000,2016,9.2,2,1,160,Southern Metropolitan,5
Balwyn North,4,h,1750000,2017,9.2,2,2,185,Southern Metropolitan,57
Balwyn North,3,h,1450000,2017,9.2,1,2,124,Southern Metropolitan,67
Balwyn North,4,h,2614000,2017,9.2,2,2,150,Southern Metropolitan,62
Balwyn North,4,h,1825000,2017,9.2,2,3,225,Southern Metropolitan,59
Balwyn North,3,t,1150000,2016,9.2,2,1,144,Southern Metropolitan,13
Balwyn North,4,h,1572000,2016,9.2,2,2,330,Southern Metropolitan,51
Balwyn North,5,h,1750000,2016,9.2,3,2,365,Southern Metropolitan,3
Balwyn North,4,h,1850000,2016,9.2,2,2,254,Southern Metropolitan,26
Balwyn North,4,h,2130000,2016,9.2,3,2,275,Southern Metropolitan,46
Balwyn North,4,h,1740000,2016,9.2,2,2,275,Southern Metropolitan,23
Balwyn North,4,h,2575000,2016,9.2,3,2,355,Southern Metropolitan,10
Balwyn North,4,h,1388800,2016,9.2,2,1,247,Southern Metropolitan,46
Balwyn North,4,h,1800000,2016,9.2,2,4,165,Southern Metropolitan,56
Balwyn North,4,h,2910000,2016,9.2,3,2,247,Southern Metropolitan,24
Balwyn North,5,h,2200000,2016,9.2,3,2,355,Southern Metropolitan,61
Balwyn North,3,h,1700000,2016,9.2,2,3,168,Southern Metropolitan,56
Balwyn North,3,h,1230000,2016,9.2,3,1,188,Southern Metropolitan,4
Balwyn North,7,h,2600000,2016,9.2,3,3,529,Southern Metropolitan,8
Balwyn North,4,h,1950000,2016,9.2,3,2,232,Southern Metropolitan,46
Balwyn North,5,h,1750000,2016,9.2,2,2,170,Southern Metropolitan,61
Balwyn North,5,h,2000000,2016,9.2,2,2,244,Southern Metropolitan,66
Balwyn North,3,h,1480000,2016,9.2,1,4,116,Southern Metropolitan,66
Balwyn North,3,h,1818000,2016,9.2,1,1,90,Southern Metropolitan,86
Balwyn North,4,h,2525000,2016,9.2,2,2,196,Southern Metropolitan,56
Balwyn North,4,h,1720000,2017,9.2,3,2,170,Southern Metropolitan,67
Balwyn North,4,h,1675000,2017,9.2,2,2,201,Southern Metropolitan,43
Balwyn North,4,t,1680000,2017,9.2,3,1,200,Southern Metropolitan,3
Balwyn North,4,h,2205000,2016,9.2,2,2,250,Southern Metropolitan,66
Balwyn North,3,h,2100000,2016,9.2,2,3,175,Southern Metropolitan,76
Balwyn North,2,h,685000,2016,9.2,1,1,85,Southern Metropolitan,41
Balwyn North,3,h,1335000,2016,9.2,2,2,177,Southern Metropolitan,7
Balwyn North,4,h,1900000,2016,9.2,2,4,165,Southern Metropolitan,56
Balwyn North,2,u,1040000,2016,9.2,1,1,112,Southern Metropolitan,21
Balwyn North,4,h,1250000,2017,9.2,2,2,153,Southern Metropolitan,67
Balwyn North,5,h,1875000,2016,9.2,3,2,200,Southern Metropolitan,55
Balwyn North,4,h,1530000,2016,9.2,2,2,198,Southern Metropolitan,56
Balwyn North,4,h,1700000,2016,9.2,2,5,175,Southern Metropolitan,56
Balwyn North,3,h,1651000,2016,9.2,1,2,151,Southern Metropolitan,56
Balwyn North,5,h,1920000,2016,9.2,3,2,355,Southern Metropolitan,61
Balwyn North,5,h,1560000,2016,9.2,2,3,199,Southern Metropolitan,36
Balwyn North,3,h,1038000,2016,9.2,2,1,144,Southern Metropolitan,13
Balwyn North,5,h,1660000,2016,9.2,3,2,193,Southern Metropolitan,66
Balwyn North,3,h,1770000,2016,9.2,2,1,147,Southern Metropolitan,61
Bentleigh,3,u,875000,2016,13,1,2,121,Southern Metropolitan,66
Bentleigh,3,h,1425000,2016,13,2,2,143,Southern Metropolitan,56
Bentleigh,2,t,851000,2016,13,1,1,250,Southern Metropolitan,46
Bentleigh,3,h,1222500,2016,13,2,2,181,Southern Metropolitan,16
Bentleigh,3,h,1317500,2016,13,1,1,127,Southern Metropolitan,71
Bentleigh,4,t,1435000,2016,13,3,2,212,Southern Metropolitan,4
Bentleigh,3,h,1110000,2016,13,1,2,164,Southern Metropolitan,76
Bentleigh,4,h,2435000,2016,13,2,2,250,Southern Metropolitan,88
Bentleigh,3,h,1500000,2016,13,2,1,222,Southern Metropolitan,76
Bentleigh,4,h,1300000,2016,13,2,2,194,Southern Metropolitan,76
Bentleigh,3,h,1125000,2016,13,1,2,116,Southern Metropolitan,68
Bentleigh,4,h,1328000,2016,13,2,2,112,Southern Metropolitan,76
Bentleigh,3,h,1340000,2016,13,2,1,135,Southern Metropolitan,106
Bentleigh,4,t,1155000,2016,13,3,2,205,Southern Metropolitan,6
Bentleigh,3,h,1275000,2016,13,1,4,138,Southern Metropolitan,56
Bentleigh,2,h,855000,2016,13,1,1,103,Southern Metropolitan,76
Bentleigh,2,u,650000,2016,13,1,1,92,Southern Metropolitan,56
Bentleigh,4,h,1815000,2016,13,2,4,233,Southern Metropolitan,66
Bentleigh,4,h,2255000,2016,13,3,2,353,Southern Metropolitan,8
Bentleigh,2,u,855000,2016,13,2,3,475,Southern Metropolitan,11
Bentleigh,4,h,1860000,2016,13,2,3,197,Southern Metropolitan,86
Bentleigh,2,u,725000,2016,13,1,1,100,Southern Metropolitan,26
Bentleigh,3,h,1293000,2016,13,1,1,108,Southern Metropolitan,66
Bentleigh,3,h,1328000,2016,13,2,2,245,Southern Metropolitan,46
Bentleigh,4,t,1247000,2016,13,2,3,255,Southern Metropolitan,8
Bentleigh,3,h,1370000,2016,13,1,2,143,Southern Metropolitan,66
Bentleigh,3,h,1095000,2016,13,2,1,170,Southern Metropolitan,51
Bentleigh,2,u,725000,2017,13,1,1,88,Southern Metropolitan,5
Bentleigh,3,t,825000,2017,13,2,2,149,Southern Metropolitan,10
Bentleigh,3,h,1165000,2016,13,1,2,125,Southern Metropolitan,66
Bentleigh,4,h,1910000,2016,13,2,4,284,Southern Metropolitan,66
Bentleigh,2,u,820000,2016,13,1,3,109,Southern Metropolitan,56
Bentleigh,4,h,1430000,2016,13,2,2,168,Southern Metropolitan,46
Bentleigh,2,h,910000,2016,13,1,2,96,Southern Metropolitan,46
Bentleigh,4,h,2520000,2016,13,4,2,361,Southern Metropolitan,4
Bentleigh,5,h,1900000,2017,13,2,2,250,Southern Metropolitan,91
Bentleigh,2,t,670000,2016,13,2,1,90,Southern Metropolitan,9
Bentleigh,2,t,680000,2016,13,1,1,107,Southern Metropolitan,18
Bentleigh,4,t,1320000,2016,13,3,3,220,Southern Metropolitan,6
Bentleigh,6,h,1900000,2016,13,3,2,275,Southern Metropolitan,28
Bentleigh,3,h,1535000,2016,13,2,2,150,Southern Metropolitan,86
Bentleigh,4,h,1281000,2016,13,1,5,150,Southern Metropolitan,76
Bentleigh,5,h,1385000,2016,13,2,2,178,Southern Metropolitan,66
Bentleigh,4,h,2620000,2016,13,4,2,361,Southern Metropolitan,4
